host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_listings_count,host_response_rate,host_response_time,host_total_listings_count,instant_bookable,is_business_travel_ready,is_location_exact,no_guest_requirement
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,f,0,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,0.5,within a day,1,1,f,0,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,0,0,5,1,within an hour,5,1,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,4,1,within an hour,4,0,t,1,0
1,1,0,0,3,1,within an hour,3,0,f,0,0
1,1,1,0,30,1,within an hour,30,1,t,1,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,0,0,2,1,within an hour,2,1,f,0,0
1,1,1,0,3,0.4,a few days or more,3,0,t,1,0
1,1,0,1,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,1,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,1,1,1,within a day,1,0,t,1,0
1,1,0,1,1,1,within an hour,1,1,t,1,0
1,1,0,0,1,1,within an hour,1,1,f,0,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,1,1,2,1,within an hour,2,1,t,1,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,1,0,3,0.4,a few days or more,3,0,f,0,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,0,1,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,0,f,0,0
1,1,1,0,8,1,within a few hours,8,0,t,1,0
1,1,1,0,112,1,within an hour,112,1,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,0,1,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,3,1,within a day,3,0,t,1,0
1,1,1,1,295,1,within an hour,295,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,879,0.98,within a few hours,879,0,t,1,0
1,1,0,0,10,1,within an hour,10,1,t,1,0
1,1,0,0,6,1,within an hour,6,0,t,1,0
1,0,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,7,1,within an hour,7,0,t,1,0
1,1,0,0,3,1,within an hour,3,0,t,1,0
1,1,0,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
0.87,1,1,0,2,0.67,within a day,2,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,f,0,0
1,1,1,0,16,1,within an hour,16,1,t,1,0
1,1,1,0,3,1,within an hour,3,0,t,1,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,1,0,16,1,within an hour,16,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,1,0,2,1,within a day,2,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,0,0,1,0.69,within a day,1,0,t,1,0
1,1,1,0,3,1,within a few hours,3,0,t,1,0
1,1,1,1,1,1,within a day,1,0,t,1,0
1,1,0,1,1,1,within a few hours,1,0,t,1,0
1,1,1,1,8,1,within an hour,8,0,t,1,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,1,within a few hours,1,0,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,1,0,1,0.94,within an hour,1,1,t,1,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,1,0,3,1,within an hour,3,0,t,1,0
1,1,0,0,2,0.87,within a few hours,2,1,t,1,0
1,1,0,1,3,1,within an hour,3,1,t,1,0
1,1,1,1,5,1,within an hour,5,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,f,0,0
1,1,0,0,1,1,within a day,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,f,0,0
0.92,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,1,1,7,1,within an hour,7,1,t,1,0
1,1,0,0,2,1,within an hour,2,0,t,1,0
1,1,0,0,7,1,within an hour,7,1,f,0,0
1,1,0,0,1,1,within an hour,1,1,f,0,0
1,1,1,1,1,1,within a day,1,0,t,1,0
1,1,1,1,1,0.6,within a day,1,0,t,1,0
1,1,0,0,2,1,within an hour,2,0,t,1,0
1,1,0,0,60,1,within an hour,60,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,3,1,within an hour,3,1,t,1,0
0.96,1,0,0,2,1,within a few hours,2,0,t,1,0
1,1,1,1,7,1,within an hour,7,0,f,0,0
1,1,1,0,1,0.9,within a day,1,0,f,0,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,1,1,3,1,within an hour,3,1,t,1,0
1,1,1,0,10,1,within an hour,10,1,t,1,0
1,1,1,1,4,1,within an hour,4,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,1,1,0.83,within a day,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,f,0,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,f,0,0
1,1,1,0,1,1,within an hour,1,1,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,1,t,1,0
1,1,0,0,6,1,within an hour,6,1,t,1,0
1,1,0,0,3,1,within an hour,3,1,t,1,0
1,1,1,0,3,0.96,within an hour,3,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,0,0,9,0.99,within an hour,9,1,f,0,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,3,0.42,a few days or more,3,0,t,1,0
1,1,1,1,3,1,within an hour,3,1,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,9,1,within an hour,9,1,t,1,0
1,1,1,0,5,0.97,within an hour,5,1,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,9,0.9,within an hour,9,0,t,1,0
1,1,1,0,4,0.96,within an hour,4,1,t,1,0
1,1,1,1,13,1,within an hour,13,0,t,1,0
1,1,1,0,630,1,within an hour,630,1,t,1,0
0.89,1,1,0,3,1,within a few hours,3,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,1,1,8,0.86,within an hour,8,1,f,0,0
1,1,1,0,3,1,within an hour,3,1,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,0,0,3,0.67,within a few hours,3,0,t,1,0
1,0,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,4,1,within an hour,4,1,t,1,0
0.99,1,1,1,6,1,within an hour,6,0,t,1,0
1,0,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,11,0.95,within an hour,11,0,t,1,0
0.72,1,1,0,162,0.97,within a day,162,0,t,1,0
1,1,0,0,3,1,within an hour,3,0,t,1,0
1,1,1,1,3,1,within an hour,3,0,f,0,0
1,1,0,0,30,0.98,within a few hours,30,0,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,0,1,0.75,within a few hours,1,0,f,0,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,3,1,within an hour,3,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,0,0,604,0.99,within an hour,604,1,f,0,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
0.99,1,1,1,3,1,within an hour,3,0,t,1,0
1,1,1,0,5,1,within an hour,5,0,t,1,0
1,1,0,1,1,1,within an hour,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,1,0,11,1,within an hour,11,0,t,1,0
1,1,1,0,7,0.97,within an hour,7,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,5,1,within an hour,5,1,t,1,0
1,1,0,0,2,1,within an hour,2,1,f,0,0
1,1,1,0,1,0.96,within an hour,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,0,f,0,0
1,1,1,0,1,1,within an hour,1,0,f,0,0
1,1,1,0,12,1,within an hour,12,0,f,0,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
0.86,1,0,0,2,1,within an hour,2,0,t,1,0
1,1,1,0,7,1,within an hour,7,1,t,1,0
1,1,1,0,2,1,within an hour,2,1,f,0,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,4,1,within an hour,4,1,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,f,0,0
1,1,0,0,3,0.9,within an hour,3,1,t,1,0
1,1,1,1,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,13,0.98,within an hour,13,1,t,1,0
1,1,1,1,1,1,within an hour,1,1,f,0,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,1,3,1,within an hour,3,0,t,1,0
1,1,1,0,22,0.93,within a day,22,0,t,1,0
1,1,1,0,1,1,within a day,1,0,f,0,0
1,1,0,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,1,0.8,within a few hours,1,0,f,0,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,1,1,3,1,within an hour,3,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,f,0,0
1,1,1,0,6,1,within an hour,6,1,t,1,0
1,1,0,0,3,1,within an hour,3,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,5,1,within an hour,5,0,t,1,0
1,1,1,0,2,1,within a day,2,0,t,1,0
1,1,0,0,1,1,within a few hours,1,0,t,1,0
1,1,1,1,4,1,within an hour,4,1,f,0,0
1,1,0,0,2,1,within a day,2,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,f,0,0
1,1,1,0,2,0.5,within a day,2,0,f,0,0
1,1,0,0,1,1,within a few hours,1,0,t,1,0
1,1,1,1,3,1,within an hour,3,1,t,1,0
1,1,0,1,4,1,within an hour,4,0,t,1,0
1,1,1,0,19,1,within an hour,19,1,t,1,0
1,1,1,1,1,1,within a day,1,0,f,0,0
1,1,1,0,7,0.98,within an hour,7,1,t,1,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,0,0,2,0.96,within an hour,2,0,t,1,0
1,1,0,0,3,1,within an hour,3,0,f,0,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,0.6,within a day,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,2,0.9,within a few hours,2,0,t,1,0
1,1,1,0,4,1,within an hour,4,0,t,1,0
1,1,1,1,18,0.98,within an hour,18,0,t,1,0
1,1,1,0,1,0.63,within a day,1,0,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,1,1,3,1,within an hour,3,1,t,1,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,0,3,0.8,within a few hours,3,0,t,1,0
1,1,1,0,45,1,within a few hours,45,0,t,1,0
1,1,0,0,2,1,within a day,2,0,t,1,0
1,1,1,1,3,1,within an hour,3,0,t,1,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,1,0,4,1,within a few hours,4,0,t,1,0
1,1,1,0,3,1,within a day,3,0,t,1,0
1,1,1,0,2,0.96,within a few hours,2,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,3,0.88,within a few hours,3,1,t,1,0
1,1,1,0,2,1,within a few hours,2,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,0,0,15,1,within an hour,15,0,f,0,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,1,t,1,0
1,1,1,0,12,1,within an hour,12,0,f,0,0
1,1,1,0,7,0.6,within a day,7,0,f,0,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
0.72,1,1,0,162,0.97,within a day,162,0,t,1,0
1,1,1,0,2,0.96,within an hour,2,0,t,1,0
1,1,0,0,1,1,within a few hours,1,1,f,0,0
1,1,1,0,4,1,within an hour,4,1,t,1,0
1,1,1,0,3,1,within a few hours,3,0,t,1,0
1,1,0,0,32,1,within a few hours,32,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,f,0,0
1,1,1,0,1,1,within a few hours,1,1,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
0.98,1,1,0,62,0.99,within an hour,62,1,f,0,1
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,0,0,2,0.5,within a day,2,0,t,1,0
1,1,1,0,1,0.83,within a day,1,0,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,1,5,1,within an hour,5,1,t,1,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,0,0,5,1,within a few hours,5,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,0,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a few hours,1,1,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,4,1,within a few hours,4,0,t,1,0
1,1,1,1,15,1,within an hour,15,1,f,0,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within a few hours,1,0,f,0,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,1,0,3,1,within an hour,3,0,t,1,0
1,1,1,0,4,0.92,within a day,4,0,f,0,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a day,1,0,f,0,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,0,f,0,0
1,1,0,0,2,1,within a day,2,0,t,1,0
1,1,1,1,11,1,within an hour,11,0,f,0,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
0.5,1,1,0,1,1,within a day,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,2,1,within an hour,2,1,t,1,0
1,1,0,1,3,1,within a few hours,3,0,t,1,0
1,1,0,1,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,2,1,within an hour,2,1,f,0,0
1,1,1,0,1,0.27,a few days or more,1,0,t,1,0
1,1,1,1,3,1,within an hour,3,0,f,0,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within a day,1,0,f,0,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,0.7,within a day,1,0,t,1,0
1,1,0,1,44,0.99,within an hour,44,1,f,0,0
1,1,1,1,12,1,within an hour,12,1,f,0,0
1,1,1,0,32,1,within an hour,32,0,t,1,0
1,1,1,1,1,0.8,within a few hours,1,0,t,1,0
1,1,1,1,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,1,1,1,0.96,within an hour,1,0,f,0,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,3,1,within an hour,3,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,8,1,within an hour,8,1,t,1,0
1,1,1,1,5,1,within a few hours,5,0,t,1,0
1,1,1,1,4,1,within an hour,4,0,t,1,0
1,1,1,0,187,1,within an hour,187,0,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,3,0.96,within an hour,3,0,t,1,0
1,1,1,1,4,1,within an hour,4,0,f,0,0
1,1,0,0,2,1,within an hour,2,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,0,0,1,0.33,a few days or more,1,0,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,0,3,0.97,within a few hours,3,0,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,1,0,3,1,within an hour,3,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,1,t,1,0
1,1,1,0,3,1,within a few hours,3,0,t,1,0
1,1,0,1,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,103,1,within an hour,103,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,0,0,2,0.8,within a day,2,0,t,1,0
1,1,0,0,1,0.86,within a few hours,1,1,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,0,0,4,1,within a few hours,4,0,t,1,0
1,1,0,0,2,0.8,within an hour,2,0,t,1,0
1,1,0,1,3,1,within an hour,3,1,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,1,within a few hours,1,0,t,1,0
1,1,0,1,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,3,1,within a few hours,3,0,f,0,0
1,1,0,0,8,0.98,within an hour,8,1,t,1,0
1,1,1,0,1,1,within an hour,1,0,f,0,0
1,1,0,1,17,0.99,within an hour,17,0,t,1,0
1,1,1,0,1,0.5,within a day,1,0,t,1,0
1,1,0,0,1,0.27,a few days or more,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,2,1,within a few hours,2,0,f,0,0
1,1,1,1,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,1,0,3,0.91,within a day,3,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,1,1,3,1,within an hour,3,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,4,0.72,within a few hours,4,1,t,1,0
1,1,0,0,10,1,within an hour,10,1,f,0,0
1,1,1,0,1,1,within an hour,1,1,f,0,0
0.82,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,1,2,1,within an hour,2,0,t,1,0
1,1,1,0,4,1,within an hour,4,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,1,t,1,0
1,1,1,0,3,1,within an hour,3,0,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,2,1,within a few hours,2,0,f,0,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,1,0.5,within a day,1,0,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,f,0,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,16,1,within an hour,16,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,0.93,within an hour,1,1,t,1,0
1,1,0,0,2,1,within an hour,2,1,f,0,0
1,1,1,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,8,0.98,within an hour,8,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,2,1,within a few hours,2,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,1,t,1,0
1,1,0,0,2,0.96,within an hour,2,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,t,1,0
1,1,1,1,2,0.9,within a day,2,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,3,0.93,within an hour,3,0,t,1,0
1,1,0,0,1,1,within a few hours,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,1,f,0,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,1,0,1,1,within a day,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a day,1,1,t,1,1
1,1,1,1,4,1,within an hour,4,0,t,1,0
1,1,0,0,2,1,within an hour,2,1,t,1,0
1,1,1,0,3,1,within a few hours,3,0,t,1,0
1,1,1,0,8,0.99,within an hour,8,1,f,0,0
1,1,1,0,2,0.9,within a few hours,2,0,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,30,1,within an hour,30,1,f,0,0
1,1,1,0,4,1,within an hour,4,0,f,0,0
1,1,0,0,2,0.96,within an hour,2,1,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,1,1,within a few hours,1,0,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,1,0.8,within a few hours,1,0,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,0,0,4,1,within an hour,4,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,f,0,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,0,1,1,1,within a few hours,1,0,f,0,0
1,1,1,1,1,1,within an hour,1,0,t,1,0
1,1,1,0,9,1,within an hour,9,1,t,1,0
1,1,0,0,1,0.92,within a few hours,1,0,f,0,0
